"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ANC20CA011","ACC","100755","2019-12-31T21:30:00Z","Fairbanks","Alaska","United States",,"N4667C","25611","false","Aviation","DirectorBrief","2021-08-31T04:00:00Z","2021-08-03T11:00:00Z","None","0","0","0","0","0","The pilot's improper fuel planning, which resulted in a total loss of engine power due to fuel exhaustion, an emergency off-airport landing, and a nose over.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot",,"64.666945999999996","-148.13333","Cessna","170","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100755","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100755/pdf"
"CEN20FA049","ACC","100748","2019-12-31T17:06:00Z","OLATHE","Kansas","United States",,"N602TF","30-0043","false","Aviation","DirectorBrief","2021-05-05T04:00:00Z","2021-01-28T05:00:00Z","Fatal","2","0","0","2","0","The pilot’s failure to set the elevator trim properly for takeoff, which resulted in an exceedance of the airplane’s critical angle of attack during climb out, an aerodynamic stall, and the subsequent impact with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Physical - Impairment/incapacitation - Prescription medication - Pilot, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Attain/maintain not possible",,"38.846111000000001","-94.736114000000001","Mooney","M20S","AIR","OJC","Johnson County Executive","false","1","REC",,"PERS","091","Destroyed","VMC",,"Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100748","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100748/pdf"
"CEN20CA052","ACC","100751","2019-12-31T16:30:00Z","Onaga","Kansas","United States",,"N3849T","28R-30171","false","Aviation","DirectorBrief","2020-06-16T04:00:00Z","2020-02-26T15:19:00Z","None","0","0","0","0","0","The pilot's improper decision to take off with the airplane at a high gross weight from a short, turf runway, which degraded its climb performance and led to a delayed aborted takeoff, a runway excursion, and impact with terrain.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Maximum weight - Not specified, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Takeoff distance - Not specified, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Effect on operation, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Decision related to condition",,"39.498054000000003","-96.175003000000004","Piper","PA28R","AIR","52K","Charles E Grutzmacher Muni","false","1","REC",,"PERS","091","Substantial","VMC","Express Flight","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100751","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100751/pdf"
"WPR20CA055","ACC","100757","2019-12-31T15:30:00Z","Elk","California","United States",,"N7095M","55395","false","Aviation","DirectorBrief","2020-06-16T04:00:00Z","2020-01-14T20:51:00Z","None","0","0","0","0","0","The pilot's failure to arrest the descent rate during an aborted simulated engine-out approach, which resulted in impact with vegetation and a subsequent cartwheel.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation",,"39.128611999999997","-123.715835","Cessna","175","AIR","LLR","Little River","false","1","REC",,"PERS","091","Substantial","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100757","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100757/pdf"
"CEN20LA051","ACC","100750","2019-12-31T14:30:00Z","Danbury","Texas","United States",,"N57SJ","278","false","Aviation","DirectorBrief","2021-05-05T04:00:00Z","2020-07-31T16:49:00Z","None","0","0","0","0","0","The failure of the engine's No.3 intake valve resulting is a loss of engine power and a rollover following the autorotation to soft ground.","Aircraft - Aircraft power plant - Engine (reciprocating) - Recip engine power section - Failure, Environmental issues - Physical environment - Terrain - Wet/muddy terrain - Contributed to outcome",,"29.243887999999998","-95.333053000000007","Enstrom","F28","HELI","07TA","Salaika Aviation","false","1","REC",,"INST","091","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100750","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100750/pdf"
"CEN20CA048","ACC","100744","2019-12-30T16:05:00Z","GRANBURY","Texas","United States",,"N519RV","40250","false","Aviation","DirectorBrief","2020-06-16T04:00:00Z","2020-02-27T15:42:00Z","None","0","0","0","0","0","The airplane’s impact with a bird while on approach.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate",,"32.365554000000003","-97.644996000000006","Vans","RV 10","AIR",,,"true","1","REC",,"PERS","091","Substantial","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100744","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100744/pdf"
"WPR20LA054","ACC","100754","2019-12-30T15:45:00Z","Big Piney","Wyoming","United States",,"N43866","757SA","false","Aviation","DirectorBrief","2022-05-03T04:00:00Z","2022-04-26T11:00:00Z","None","0","0","0","0","0","The failure of the right propeller position to correspond to the throttle change when moved to the beta position for reasons that could not be determined based on available evidence.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"42.582220999999997","-110.108886","Mitsubishi","MU2B","AIR","BPI","Miley Memorial Field","false","2","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100754","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100754/pdf"
"ERA20WA061","ACC","100747","2019-12-30T15:30:00Z","Vereda Cuzama",,"Colombia",,"HK2629","32-8124011","false","Aviation","",,,"Fatal","3","0","0","3","0",,,,"7.1041660000000002","-73.190276999999995","PIPER","PA-32-301T","AIR","SKBG","Palonegro Airport","false","1","REC",,,"NUSN","Substantial","VMC","Lineas Aereas Galan - Aerogalan","Initial Climb","N/A",,,"","None"
"CEN20CA047","ACC","100743","2019-12-29T19:20:00Z","Robstown","Texas","United States",,"N3473U","18254873","false","Aviation","DirectorBrief","2020-06-16T04:00:00Z","2020-01-21T12:53:00Z","None","0","0","0","0","0","The pilot's failure to set the friction lock on the throttle before hand propping the engine, which allowed the airplane to move forward and impact a credit card machine. Contributing to the accident was the malfunction of the parking brake for reasons that could not be determined.","Personnel issues - Action/decision - Action - Lack of action - Pilot, Aircraft - Aircraft oper/perf/capability - (general) - (general) - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - (general) - Effect on operation, Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"27.77861","-97.690833999999995","Cessna","182","AIR","RBO","Nueces County Airport","false","1","REC",,"PERS","091","Substantial","VMC",,"Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100743","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100743/pdf"
"ERA20FA060","ACC","100740","2019-12-29T15:48:00Z","College Park","Maryland","United States",,"N26455","AA5A0599","false","Aviation","DirectorBrief","2022-08-12T04:00:00Z","2022-07-20T19:00:00Z","Fatal","1","0","0","1","0","The pilot's loss of airplane control due to spatial disorientation after entering a climbing turn in instrument meteorological conditions.","Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained",,"38.971389000000002","-76.893057999999996","American Aviation","AA5","AIR","CGS","College Park","false","1","REC",,"PERS","091","Destroyed","IMC",,"Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100740","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100740/pdf"
