"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN17FA064","ACC","94551","2016-12-31T18:45:00Z","Vienna","Illinois","United States",,"N2806R","28R-35293","false","Aviation","DirectorBrief","2018-11-05T05:00:00Z","2018-06-27T12:42:00Z","Fatal","4","0","0","4","0","The non-instrument rated pilot's decision to descend through an overcast layer of weather during dark night conditions, which resulted in the airplane impacting trees.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low ceiling - Decision related to condition, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Decision related to condition, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",,"37.354166999999997","-88.811385999999999","PIPER","PA 28R-200","AIR",,,"false","1","REC",,"PERS","091","Destroyed","IMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94551","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94551/pdf"
"CEN17FA063","ACC","94550","2016-12-31T18:25:00Z","McKinney","Texas","United States",,"N4407T, N2889K","28R-7235089, 5616","false","Aviation","DirectorBrief","2019-06-25T04:00:00Z","2018-12-11T11:50:00Z","Fatal","3","0","0","3","0","The pilot's use of an alternate traffic pattern entry procedure, which resulted in his inability to see and avoid the other airplane, which was flying the preferred traffic pattern, and the subsequent midair collision.","Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot",,"33.206665000000001","-96.732780000000005","PIPER, LUSCOMBE","PA28R, 8","AIR, AIR","T31","Aero Country Airport","false, false","1","REC, REC",,"PERS, PERS","091, 091","Destroyed, Destroyed","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94550","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94550/pdf"
"GAA17CA108","ACC","94580","2016-12-31T18:00:00Z","Casa Grande","Arizona","United States",,"N5897R","73692","false","Aviation","DirectorBrief","2017-04-04T04:00:00Z","2017-03-06T18:38:00Z","None","0","0","0","0","0","The pilot’s inadvertent application of the autopilot during short final, which resulted in an aerodynamic stall and hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded, Aircraft - Aircraft systems - Auto flight system - Autopilot system - Unintentional use/operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"32.956389999999999","-111.763885","LARSON ROGER H","RV-7","AIR","CGZ","CASA GRANDE MUNI","true","1","REC",,"PERS","091","Substantial","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94580","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94580/pdf"
"GAA17CA106","ACC","94559","2016-12-31T12:00:00Z","Palouse","Washington","United States",,"N260BD","26016C","false","Aviation","DirectorBrief","2017-03-13T04:00:00Z","2017-02-01T17:18:00Z","Minor","0","0","1","1","0","The pilot’s failure to maintain directional control on an ice- and snow-covered runway during taxi with a crosswind, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,"46.884444999999999","-117.077499","MAULE","M7","AIR","WN26","SCHOEPFLIN","false","1","REC",,"PERS","091","Substantial","VMC",,"Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94559","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94559/pdf"
"CEN17LA066","ACC","94556","2016-12-31T08:40:00Z","Lee's Summit","Missouri","United States",,"N120CG","5681","false","Aviation","DirectorBrief","2017-08-28T04:00:00Z","2017-05-11T18:33:00Z","Serious","0","1","0","1","0","Partial failure of the electric system due to a battery short, which resulted in a total loss of engine power.","Aircraft - Aircraft systems - Electrical power system - Battery/charger - Failure",,"38.925277000000001","-94.378050999999999","GOSSELIN CHARLES","GLASTAR","AIR",,,"true","1","REC",,"PERS","091","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94556","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94556/pdf"
"WPR17FAMS2","ACC","94561","2016-12-30T19:49:00Z","Open water","Hawaii","United States",,"N174LL","17261220","false","Aviation","DirectorBrief","2017-09-06T04:00:00Z","2017-06-26T14:57:00Z","Fatal","3","0","0","3","0","Undetermined because the airplane was not located.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Decision related to condition",,"21.230556","-157.185562","CESSNA","172M","AIR",,,"false","1","REC",,"PERS","091","Destroyed","VMC",,"Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94561","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94561/pdf"
"DCA17WA056","INC","94592","2016-12-30T12:30:00Z","Paris",,"France",,"CN-ROJ","33979","false","Aviation","",,,"None","0","0","0",,"0",,,,,,"BOEING","737","AIR","ORY","Paris Orly","false",,,"SCHD",,"NUSC","None","IMC","Royal Air Maroc","Approach","N/A",,,"","None"
"ERA17LA077","ACC","94564","2016-12-30T11:10:00Z","Dunnellon","Florida","United States",,"N6627U","ME-214","false","Aviation","DirectorBrief","2019-07-08T04:00:00Z","2019-04-26T18:21:00Z","None","0","0","0","0","0","An inadequate 100-hour maintenance inspection that failed to detect and correct loose nuts on a single-drive dual magneto, which led to the subsequent separation of the magneto from the engine during initial climb and the total loss of engine power.","Personnel issues - Task performance - Inspection - Scheduled/routine inspection - Maintenance personnel, Aircraft - Aircraft power plant - Ignition system - Magneto/distributor - Inadequate inspection, Environmental issues - Physical environment - Object/animal/substance - (general) - Contributed to outcome",,"29.065000000000001","-82.371109000000004","BEECH","76","AIR","X35","MARION COUNTY","false","2","REC",,"INST","091","Substantial","VMC","CRYSTAL AERO GROUP INC","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94564","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94564/pdf"
"CEN17FA072","ACC","94545","2016-12-29T23:57:00Z","Cleveland","Ohio","United States",,"N614SB","525C0072","false","Aviation","DirectorBrief","2018-07-16T04:00:00Z","2018-06-21T15:17:00Z","Fatal","6","0","0","6","0","Controlled flight into terrain due to pilot spatial disorientation.  Contributing to the accident was pilot fatigue, mode confusion related to the status of the autopilot, and negative learning transfer due to flight guidance panel and attitude indicator differences from the pilot's previous flight experience.","Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Personnel issues - Physical - Alertness/Fatigue - (general) - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot",,"41.554721000000001","-81.703329999999994","CESSNA","525","AIR","BKL","Burke Lakefront","false","2","TF",,"PERS","091","Destroyed","VMC",,"Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94545","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94545/pdf"
"WPR17FA044","ACC","94548","2016-12-29T19:44:00Z","Dabob","Washington","United States",,"N52388","18262571","false","Aviation","DirectorBrief","2019-02-26T05:00:00Z","2018-12-13T20:30:00Z","Fatal","4","0","0","4","0","The non-instrument-rated pilot's decision to continue a night visual flight rules into instrument flight rules conditions, which resulted in spatial disorientation and a loss of airplane control. Contributing to the accident was the pilot's failure to obtain an official weather briefing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Effect on operation, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Personnel issues - Physical - Health/Fitness - Use of medication/drugs - Pilot, Personnel issues - Physical - Health/Fitness - Predisposing condition - Pilot",,"47.823611999999997","-122.79000000000001","CESSNA","182","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=94548","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/94548/pdf"
