"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN18FA063","ACC","96543","2017-12-31T12:56:00Z","Punta Islita",,"Costa Rica",,"TI-BEI","208B0900","false","Aviation","DirectorBrief","2019-12-16T05:00:00Z","2019-11-18T12:02:00Z","Fatal","12","0","0","12","0","The flight crew's failure to maintain airspeed while maneuvering to exit an area of rising terrain, which resulted in an exceedance of the airplane's critical angle of attack and an aerodynamic stall. Contributing to the accident was the flight crew's decision to continue the takeoff toward rising terrain that likely exceeded the airplane's climb capability, the lack of adequate weather reporting available for wind determination, and the lack of documented training for an airport requiring a non-standard departure.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Capability exceeded, Organizational issues - Support/oversight/monitoring - Training - (general) - Operator, Organizational issues - Management - Resources - Availability of equipment - Meteorological service",,"9.865278","-85.366111000000004","CESSNA","208","AIR","MRIA","Islita Airport","false","1","TP","NSCH",,"NUSC","Destroyed","VMC","Nature Air","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96543","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96543/pdf"
"WPR18WA060","ACC","96557","2017-12-31T05:00:00Z","Cottage Point",,"Australia",,"VH-NOO","1535","false","Aviation","",,,"Fatal","6","0","0","6","0",,,,,,"DE HAVILLAND","DHC2","AIR",,,"false",,,,,"UNK","Destroyed",,,"Initial Climb","N/A",,,"","None"
"ERA18WA061","ACC","96583","2017-12-30T17:45:00Z","Dom Pedrito",,"Brazil",,"PR-MLY",,"false","Aviation","",,,"Fatal","1","0","1","2","0",,,,"-30.903054999999998","-54.994998000000002","CESSNA","A188","AIR",,,"false",,,,,"NUSN","Substantial",,,"Takeoff","N/A",,,"","None"
"CEN18WA067","ACC","96571","2017-12-30T17:42:00Z","Alicante",,"Spain",,"N1950M, EC-MMC","E3B-315, 33209","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"38.438330999999998","-0.46944399999999997","Construcciones Aeronauticas, BELL","C.A.S.A. 1.131, 412SP","AIR, HELI","LEMU","Muchamiel Aerodrome","false, false",,,,"PERS","NUSN, NUSC","Substantial, Substantial",,"Pilot, Babcock","Approach","N/A",,,"","None"
"WPR18LA058","ACC","96548","2017-12-29T21:30:00Z","San Bernardino","California","United States",,"N222AT","21059098","false","Aviation","DirectorBrief","2019-03-18T04:00:00Z","2018-11-08T13:28:00Z","None","0","0","0","0","0","The fatigue failure of the left main landing gear (MLG) saddle, which resulted in the pilot's inability to extend the left MLG. Contributing to the accident was the pilot's improper decision to fly the airplane before the annual inspection was completed and the airplane returned to service in an airworthy condition.","Aircraft - Aircraft systems - Landing gear system - Main landing gear - Failure, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Fatigue/wear/corrosion, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft handling/service - Maintenance/inspections - Scheduled maint checks - Not inspected, Aircraft - Aircraft handling/service - Maintenance/inspections - Return to service - Not inspected",,"34.091667000000001","-117.24777899999999","CESSNA","210","AIR","SBD","SAN BERNARDINO INTL","false","1","REC",,"PERS","091","Substantial","VMC",,"Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96548","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96548/pdf"
"DCA18IA081","INC","96614","2017-12-29T19:40:00Z","Pullman","Washington","United States",,"N412QX","4059","false","Aviation","DirectorBrief","2019-10-24T04:00:00Z","2018-10-02T15:00:00Z","None","0","0","0","0","0","the flight crew's misidentification of the taxiway as the landing runway due to the failure of the runway lighting that caused only the taxiway lights to be illuminated.","Environmental issues - Operating environment - Airport facilities/design - Airport lighting - Contributed to outcome, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew",,"46.742778000000001","-117.11694300000001","BOMBARDIER INC","DHC 8 402","AIR","PUW","PULLMAN/MOSCOW RGNL","false","2","TP","SCHD",,"121","None","IMC","HORIZON AIR INDUSTRIES INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96614","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96614/pdf"
"WPR18FA063","ACC","96565","2017-12-29T15:41:00Z","Ogden","Utah","United States",,"N4395R","17263145","false","Aviation","DirectorBrief","2020-05-19T04:00:00Z","2020-04-21T15:58:00Z","Fatal","2","0","0","2","0","The pilot's failure to maintain clearance from the water while flying over a lake with glassy surface conditions. Contributing to the accident was the pilot's use of three impairing medications.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Terrain - Water - Effect on personnel, Personnel issues - Psychological - Perception/orientation/illusion - Perception - Pilot, Personnel issues - Physical - Impairment/incapacitation - Prescription medication - Pilot",,"41.330001000000003","-112.663612","CESSNA","172M","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96565","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96565/pdf"
"CEN18LA064","ACC","96545","2017-12-28T17:30:00Z","Paulding","Ohio","United States",,"N4JW","877 SWN 100 IS","false","Aviation","DirectorBrief","2019-11-06T05:00:00Z","2019-06-26T11:37:00Z","None","0","0","0","0","0","The loss of engine power while the motor-powered glider was maneuvering due to the fuel unporting in its fuel tank, which resulted in fuel starvation and a subsequent forced landing on unsuitable terrain.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Not specified, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Capability exceeded, Environmental issues - Physical environment - Object/animal/substance - Snow/ice - Contributed to outcome, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",,"41.188887999999999","-84.708053000000007","PIPISTREL DOO AJDOVSCINA","VIRUS SW","GLI",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96545","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96545/pdf"
"GAA18CA094","ACC","96541","2017-12-28T13:15:00Z","Spearfish","South Dakota","United States",,"N11KX","32-8224004","false","Aviation","DirectorBrief","2018-07-05T04:00:00Z","2018-05-17T11:38:00Z","None","0","0","0","0","0","The pilot’s inadvertent landing in snow adjacent to the snow-covered runway resulting in a collision with runway signs.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Snow - Effect on personnel, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Contributed to outcome",,"44.484721999999998","-103.788055","PIPER","PA32","AIR","SPF","BLACK HILLS-CLYDE ICE FIELD","false","1","TP",,"PERS","091","Substantial","VMC","STAMM AIR LLC.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96541","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96541/pdf"
"GAA18CA096","ACC","96566","2017-12-27T16:30:00Z","Upper Lake","California","United States",,"N3945A","178 05","false","Aviation","DirectorBrief","2018-03-27T04:00:00Z","2018-02-28T16:13:00Z","None","0","0","0","0","0","The pilot’s failure to maintain adequate airspeed and his exceedance of the airplane’s critical angle of attack during the approach to land, which resulted in an aerodynamic stall.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained",,"39.443053999999997","-122.96028099999999","AEROPRO CZ","EUROFOX","AIR","1Q5","GRAVELLY VALLEY","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96566","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96566/pdf"
